"Moment","Concepts","Agency","Social"
"I got off work","career","no","no"
"Someone complimented my cooking skills.","food","no","yes"
"My youngest wanted to give me extra kisses at bed time tonight.","family","no","yes"
"I got paid this morning.","career","no","no"
"Getting handcrafted gifts from my kids, they were sooo excited.","family","no","yes"
"Two days ago I went to a chicken place I saw on the New Yorker website and had really good fried chicken.","food","yes","no"
"I walked my dog and it made him happy.","animals","yes","no"
"Went on a cruise","vacation","yes","no"
"Purchased New Smart Phone.","shopping|technology","yes","no"
"We found a piece of land that we want to buy and build our forever home on it.","shopping","yes","yes"
"I went to shopping, and went to restaurant with my parents for dinner, it was quite pleasant evening finished my day.","food|shopping","yes","yes"
"I woke up and realized that I didn't have to go into work today.","career","yes","yes"
"I got a new CD in the mail and had a chance to listen to it yesterday for the first time.","entertainment","no","no"
"I watched a very good movie at the cinema","entertainment","yes","no"
"I got a new pair of shoes I had been wanting to get at the mall.","shopping","yes","no"
"I planned a vacation trip with my family for the summer at the beach.","vacation|family","yes","yes"
"After one month of rain less hot climate we got abundant rain here.","weather","no","no"
"I had ice cream with my friend Liz.","food","yes","yes"
"I managed to motivate myself to spend several hours a day applying to jobs and preparing for interviewing.","career","yes","no"
"Going outside made me happy in the past 24 hours, because the weather is getting warmer with each day, and I start to feel really optimistic about April. ","weather","yes","no"
"Hit max level on an alternate character in a game i play","entertainment","yes","no"
"We took the children to a local lake with walking path to fish and feed the geese and ducks.","exercise","yes","yes"
"Just bought a new car.","shopping","yes","no"
"i installed a new operating system on one of my laptops and its working reall well.","technology","yes","no"
"MY FAMILY VISITED TO nan BEACH NEAR RAMANATHAPURAM","vacation|family","yes","yes"
"My best friend announced that he and his wife are having a baby.","family|party","no","yes"
"My fiance and I prepared a delicious dinner together.","food","yes","yes"
"I made pasta for the first time","food","yes","no"
"I went to the local bar and watched a great pair of singers play for a couple of hours","entertainment","yes","yes"
"ALL FAMILY MEMBERS GOING TO PICNIC .WE ARE ALL ENJOYED.THAT IS ONE OF THE HAPPIEST MOVEMENT.","family|vacation","yes","yes"
"It made me happy to receive a call from my brother, who is in another country that I had not heard in a long time, told me that he is very well and that I am going to be uncle.","family|conversation","no","yes"
"I got a call from an old friend that I haven't heard from in a while,.","conversation","no","yes"
"My friends dog was lost and someone found it she gets it back after 3 days.","animals","no","yes"
"We had a really good potluck at work today.","career","no","yes"
"I recently celebrated my 4 year anniversary with my girlfriend by going to a fancy restaurant downtown and having a very romantic date.","romance","yes","yes"
"I heard a good song.","entertainment","yes","no"
"I ran into an old friend at the gym, that I hadn't seen in about five years.","exercise","no","yes"
"Eggs were on sale last night at the grocery store.","shopping|food","no","no"
"I found out today that I got the job I wanted.","career","yes","no"
